Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude,Sigma
1996,6,26,0,10,26,-6.0297,22.3496,42.86,4.47,1.00
1996,6,28,8,30,54,-13.3425,20.3357,43.96,4.35,1.00
1996,6,28,9,23,18,-13.0627,22.5358,39.30,4.29,1.00
1996,7,1,10,19,50,-18.2692,25.6998,30.48,4.01,1.00
1996,7,1,21,26,39,-9.2247,20.3789,41.66,4.05,1.00
1996,7,2,1,14,12,-10.8797,21.1044,20.02,4.28,1.00
1996,7,2,2,9,30,-11.8965,26.2583,34.92,4.14,1.00
1996,7,2,13,54,34,-2.3948,24.8624,12.50,4.94,1.00
1996,7,5,11,1,50,-10.7786,23.7946,39.52,4.09,1.00
1996,7,6,2,35,34,-14.6334,26.8404,18.60,4.42,1.00
1996,7,6,19,44,40,-11.4194,28.3327,13.31,4.35,1.00
1996,7,7,6,41,38,-5.6255,21.7842,26.63,4.14,1.00
1996,7,8,4,11,59,-8.3036,27.7908,16.82,4.05,1.00
1996,7,8,5,45,11,-10.8185,25.8050,27.88,4.11,1.00
1996,7,9,11,5,24,-11.2023,22.3608,44.73,4.04,1.00
1996,7,10,11,12,9,-3.6178,21.1540,45.05,4.09,1.00
1996,7,13,7,52,45,-12.5677,21.0408,40.07,4.27,1.00
1996,7,14,12,33,21,-7.3828,20.8557,24.41,4.16,1.00
1996,7,17,4,47,28,-16.6921,27.4255,16.81,4.13,1.00
1996,7,18,21,52,48,-13.0530,21.4558,8.65,4.70,1.00
1996,7,19,20,44,11,-18.3765,24.6631,44.39,4.71,1.00
1996,7,20,21,2,22,-9.2516,22.4430,0.72,4.05,1.00
1996,7,27,6,6,21,-11.0348,27.6833,35.61,4.40,1.00
1996,7,27,8,13,1,-7.0399,22.1955,35.48,4.29,1.00
1996,7,27,11,39,31,-16.0671,21.4427,16.96,5.12,1.00
1996,7,29,1,45,45,-8.4531,22.1301,15.73,4.88,1.00
1996,7,29,21,20,5,-4.2719,22.3130,24.93,5.17,1.00
1996,8,1,4,54,32,-15.3123,24.6067,13.30,5.10,1.00
1996,8,1,7,45,47,-10.8089,25.4537,44.52,4.05,1.00
1996,8,1,17,25,5,-17.7142,23.4924,19.53,4.39,1.00
1996,8,5,6,33,22,-11.1439,22.1439,21.26,4.66,1.00
1996,8,9,13,26,18,-4.6800,21.0124,48.16,4.25,1.00
1996,8,10,19,11,53,-9.0186,21.1705,10.76,4.26,1.00
1996,8,11,11,54,3,-3.2764,26.2049,37.77,4.09,1.00
1996,8,16,23,19,55,-9.4296,23.5462,37.45,4.44,1.00
1996,8,21,9,53,2,-11.6729,20.5227,42.45,4.01,1.00
1996,8,23,8,31,39,-15.3087,29.7842,16.61,5.16,1.00
1996,8,25,2,31,46,-11.3942,25.6565,24.20,4.32,1.00
1996,8,28,6,17,44,-17.6180,28.2209,49.00,4.45,1.00
1996,8,28,11,3,21,-5.9233,23.0902,40.01,4.05,1.00
1996,8,28,21,13,53,-17.5621,22.9370,27.99,4.12,1.00
1996,8,30,14,47,1,-17.0518,27.1132,45.65,4.27,1.00
1996,8,31,8,42,1,-13.5493,21.4690,44.02,4.89,1.00
1996,8,31,9,57,54,-15.4026,24.4767,19.49,4.94,1.00
1996,8,31,12,52,16,-16.7701,27.0933,9.75,4.29,1.00
1996,9,1,11,1,2,-9.0686,25.8759,16.76,4.59,1.00
1996,9,5,21,25,57,-15.7255,29.5192,16.24,4.74,1.00
1996,9,10,9,19,17,-7.9215,22.7967,1.88,5.00,1.00
1996,9,11,1,14,59,-18.7534,25.3108,25.36,4.02,1.00
1996,9,13,8,20,51,-17.6449,27.0801,2.38,4.34,1.00
1996,9,16,1,6,52,-10.7099,27.4803,28.22,4.01,1.00
1996,9,19,11,40,26,-1.7296,22.0317,31.32,4.10,1.00
1996,9,19,18,19,2,-5.2255,24.7047,29.42,4.67,1.00
1996,9,20,2,17,35,-9.6350,22.0035,18.53,5.23,1.00
1996,9,24,6,0,45,-13.4793,25.2105,28.57,4.07,1.00
1996,9,29,3,28,10,-15.7361,23.0153,20.25,4.81,1.00
1996,10,4,6,20,54,-3.0067,21.3571,3.98,4.08,1.00
1996,10,7,16,51,18,-11.5422,20.9301,12.91,5.03,1.00
1996,10,10,0,7,6,-6.4181,24.6278,8.58,4.44,1.00
1996,10,10,14,47,24,-14.0886,23.5462,38.09,4.33,1.00
1996,10,18,0,36,28,-14.0658,21.6948,27.90,5.29,1.00
1996,10,23,20,12,53,-18.3756,29.7704,16.85,4.54,1.00
1996,10,24,4,43,12,-10.1829,26.2801,49.19,4.31,1.00
1996,10,26,4,3,9,-11.8410,29.1113,28.20,4.15,1.00
1996,10,26,22,9,47,-2.1285,21.0171,48.17,4.14,1.00
1996,10,28,19,1,43,-19.7426,22.6114,11.70,4.12,1.00
1996,10,30,21,14,2,-12.6549,28.1348,9.20,4.07,1.00
1996,10,31,23,27,11,-4.5965,24.0895,18.45,4.90,1.00
1996,11,1,5,51,42,-6.2127,22.9705,20.68,4.09,1.00
1996,11,1,9,53,40,-4.9246,22.9756,1.25,5.32,1.00
1996,11,2,18,39,6,-1.7127,21.5454,10.26,4.46,1.00
1996,11,3,9,30,37,-17.2401,24.1471,9.87,4.00,1.00
1996,11,5,1,12,19,-9.7511,22.7834,15.80,4.02,1.00
1996,11,5,22,18,24,-0.4414,22.9775,38.05,5.49,1.00
1996,11,8,13,2,13,-4.8567,21.1263,33.42,4.15,1.00
1996,11,8,13,53,53,-17.9977,23.5324,47.97,4.35,1.00
1996,11,9,12,59,16,-14.1924,27.7460,10.31,4.83,1.00
1996,11,10,6,6,39,-13.6392,21.9016,20.19,4.21,1.00
1996,11,11,21,1,12,-8.8019,29.1127,34.32,4.05,1.00
1996,11,16,0,20,29,-8.8872,28.5215,13.70,4.48,1.00
1996,11,18,12,36,59,-11.1180,23.6223,24.46,4.78,1.00
1996,11,18,13,37,34,-10.3634,21.4449,48.65,5.40,1.00
1996,11,18,15,30,33,-18.8958,29.0032,38.61,4.29,1.00
1996,11,20,14,48,24,-7.0694,24.7151,17.18,5.24,1.00
1996,11,20,17,11,6,-11.6997,22.0809,39.66,4.26,1.00
1996,11,22,21,40,22,-11.9571,22.6820,28.20,5.54,1.00
1996,12,1,6,7,39,-13.3163,27.0681,27.63,5.15,1.00
1996,12,3,6,8,54,-16.0763,24.9771,40.10,4.42,1.00
1996,12,6,22,57,47,-4.3236,25.2945,43.67,4.70,1.00
1996,12,8,9,54,12,-19.1844,20.0685,14.68,5.18,1.00
1996,12,8,19,23,12,-19.6249,21.1195,42.04,4.02,1.00
1996,12,10,0,51,54,-17.7557,22.2767,21.95,4.56,1.00
1996,12,10,7,9,44,-11.6014,22.9890,29.71,4.05,1.00
1996,12,14,13,40,33,-4.9849,24.6972,33.32,4.07,1.00
1996,12,16,21,45,52,-18.0286,23.8838,25.86,4.72,1.00
1996,12,26,23,42,52,-7.0414,22.6044,36.14,4.24,1.00
1996,12,31,23,57,37,-7.7244,26.3687,4.29,4.48,1.00
1997,1,2,5,15,6,-1.7290,20.1047,4.85,4.49,1.00
1997,1,2,20,50,2,-19.7341,27.4572,36.27,4.23,1.00
1997,1,5,10,58,38,-6.9675,27.5465,38.46,4.03,1.00
1997,1,6,10,59,14,-2.6245,22.2472,43.74,4.75,1.00
1997,1,9,11,33,39,-0.4325,24.4955,15.16,4.60,1.00
1997,1,10,20,19,5,-8.7932,28.8223,5.91,4.16,1.00
1997,1,24,1,33,50,-13.2284,21.4793,35.03,4.10,1.00
1997,1,25,16,20,59,-6.3963,21.6046,49.34,4.01,1.00
1997,1,25,22,32,57,-10.1616,21.7817,48.39,4.66,1.00
1997,1,27,8,38,30,-5.2571,20.7009,16.92,4.88,1.00
1997,1,27,12,36,20,-9.3231,20.7265,24.69,4.03,1.00
1997,1,31,11,58,49,-11.5878,26.4341,14.36,4.10,1.00
1997,2,3,12,41,16,-15.2295,22.4295,0.01,4.45,1.00
1997,2,4,15,31,39,-16.7866,21.7806,28.58,4.58,1.00
1997,2,9,11,18,46,-16.8752,27.9082,4.24,4.89,1.00
1997,2,9,16,34,27,-12.2537,23.6548,46.50,4.29,1.00
1997,2,13,22,27,24,-3.2184,24.3668,8.24,4.46,1.00
1997,2,15,3,45,49,-8.9425,28.8302,20.96,4.19,1.00
1997,2,17,15,24,58,-14.5426,28.0040,43.85,4.33,1.00
1997,2,19,13,55,24,-18.9355,24.0560,9.06,4.18,1.00
1997,2,19,14,12,20,-11.5136,28.0694,44.61,5.54,1.00
1997,2,20,3,15,51,-3.0699,21.8705,14.46,5.30,1.00
1997,2,20,21,14,10,-11.3017,20.5145,9.66,4.47,1.00
1997,2,23,8,14,50,-19.8436,26.6759,4.80,4.49,1.00
1997,2,26,22,8,43,-0.6114,24.0124,36.50,4.03,1.00
1997,2,27,20,22,16,-14.7994,29.8283,34.93,5.35,1.00
1997,3,1,15,39,34,-18.8310,20.8301,35.55,4.44,1.00
1997,3,4,1,38,55,-10.5635,27.0369,9.99,4.01,1.00
1997,3,4,15,40,20,-6.3409,25.2957,22.05,4.22,1.00
1997,3,5,5,1,45,-2.5671,25.5421,6.11,4.34,1.00
1997,3,9,12,0,36,-2.0231,24.0538,44.31,4.03,1.00
1997,3,12,7,57,0,-17.9987,20.7561,36.92,4.28,1.00
1997,3,13,10,42,8,-16.6731,20.4460,24.52,4.19,1.00
1997,3,14,13,3,53,-11.9095,20.9772,27.90,4.18,1.00
1997,3,14,16,58,52,-7.6481,20.6598,13.90,4.48,1.00
1997,3,17,19,16,0,-11.1952,22.3585,45.58,4.00,1.00
1997,3,27,9,47,17,-6.8663,27.7846,11.15,4.01,1.00
1997,3,27,21,16,4,-13.9883,29.9055,24.19,4.06,1.00
1997,3,30,4,37,0,-10.0286,28.2897,17.86,6.46,1.00
1997,3,30,20,3,24,-4.6902,20.0459,27.56,4.87,1.00
1997,3,31,1,31,35,-6.2093,23.7872,44.93,5.38,1.00
1997,4,3,10,53,1,-0.1797,22.3369,30.17,4.03,1.00
1997,4,6,11,0,6,-19.4728,27.4116,0.44,4.19,1.00
1997,4,6,13,39,44,-9.1789,22.7330,4.16,4.17,1.00
1997,4,8,14,13,38,-15.7750,22.6723,27.27,4.08,1.00
1997,4,10,6,8,5,-16.9183,21.1465,49.95,4.17,1.00
1997,4,11,22,49,13,-16.0422,21.9876,36.61,4.95,1.00
1997,4,16,17,27,55,-14.8583,20.3234,38.31,4.02,1.00
1997,4,18,16,1,45,-5.8467,25.5659,35.77,4.19,1.00
1997,4,18,23,21,26,-3.8712,26.1386,19.19,5.97,1.00
1997,4,19,5,14,45,-17.0585,25.9747,7.37,4.35,1.00
1997,4,19,20,43,52,-16.5844,21.0830,32.03,4.25,1.00
1997,4,20,11,53,35,-14.8488,20.4296,44.99,4.13,1.00
1997,4,21,9,26,5,-12.8492,29.1591,1.28,4.01,1.00
1997,4,22,1,20,37,-1.8183,20.8454,34.35,4.10,1.00
1997,4,22,2,15,59,-16.4693,25.7294,38.58,4.51,1.00
1997,4,22,11,39,33,-18.0544,29.9831,9.25,4.03,1.00
1997,5,5,14,14,1,-8.7573,26.8933,31.35,4.57,1.00
1997,5,6,15,14,18,-11.8826,27.8507,45.36,4.12,1.00
1997,5,8,5,32,5,-17.9484,23.8003,8.07,5.09,1.00
1997,5,10,6,22,59,-7.9467,20.8714,12.16,4.45,1.00
1997,5,15,1,4,36,-7.2789,26.9953,49.30,4.01,1.00
1997,5,17,3,36,3,-13.6662,25.1149,31.99,4.37,1.00
1997,5,19,20,3,20,-17.9006,27.2329,1.23,4.01,1.00
1997,5,23,5,25,51,-8.3728,22.7552,14.87,4.56,1.00
1997,5,25,6,13,14,-6.1653,24.6175,3.54,4.18,1.00
1997,5,25,7,33,26,-15.2540,28.2351,0.62,4.87,1.00
1997,5,29,12,52,32,-19.6945,28.9937,30.32,4.25,1.00
1997,5,29,18,12,6,-3.6658,25.6292,9.15,4.00,1.00
1997,5,31,21,24,32,-2.7919,20.0805,47.93,5.14,1.00
1997,6,3,1,27,35,-16.7088,22.1234,45.89,4.45,1.00
1997,6,3,13,58,47,-15.2003,20.9822,11.64,4.06,1.00
1997,6,4,1,31,33,-18.9585,21.5736,33.54,4.05,1.00
1997,6,7,2,44,28,-6.4612,20.9284,24.12,4.02,1.00
1997,6,10,8,14,18,-1.5442,22.8850,43.72,4.96,1.00
1997,6,12,1,49,13,-14.0657,23.2844,46.13,4.18,1.00
1997,6,13,4,14,59,-10.0426,21.3209,26.16,4.05,1.00
1997,6,18,22,12,33,-0.6129,21.2731,35.96,4.74,1.00
1997,6,19,6,16,26,-7.2763,22.9761,35.30,4.56,1.00
1997,6,19,21,17,4,-7.2040,26.2473,10.78,4.23,1.00
1997,6,21,3,10,41,-9.2863,28.6212,47.00,4.86,1.00
1997,6,22,22,33,29,-4.8404,21.6858,49.47,4.08,1.00
1997,7,1,0,53,59,-16.3830,22.3735,29.94,4.15,1.00
1997,7,5,8,55,18,-7.3537,24.2956,37.35,4.72,1.00
1997,7,6,8,9,53,-10.0384,21.3397,19.43,4.04,1.00
1997,7,7,6,42,25,-19.1519,22.5377,46.85,4.05,1.00
1997,7,10,22,6,3,-8.9525,26.5129,7.75,4.51,1.00
1997,7,13,9,37,39,-17.7743,27.4023,0.02,4.13,1.00
1997,7,13,10,4,9,-17.0755,25.4631,32.87,4.12,1.00
1997,7,15,6,26,26,-16.3111,29.8016,45.34,4.26,1.00
1997,7,15,16,15,20,-9.5006,21.3106,17.96,4.10,1.00
1997,7,18,9,43,16,-9.3612,23.1649,34.55,4.10,1.00
1997,7,19,16,34,57,-15.4387,29.1576,49.53,4.78,1.00
1997,7,20,4,32,46,-6.7626,27.4488,2.83,4.71,1.00
1997,7,28,1,3,37,-19.7759,29.9162,5.57,4.01,1.00
1997,7,28,17,29,6,-17.2592,29.9599,24.92,4.05,1.00
1997,7,28,18,31,16,-9.2457,26.8633,31.32,4.61,1.00
1997,7,29,14,51,25,-7.5166,22.5064,7.05,5.29,1.00
1997,7,31,2,27,17,-13.2860,20.5896,10.44,4.09,1.00
1997,7,31,17,17,31,-3.3540,26.3040,9.94,4.77,1.00
1997,8,1,10,52,30,-14.6261,24.2769,4.39,4.17,1.00
1997,8,2,6,1,21,-0.1026,24.3749,42.73,4.16,1.00
1997,8,4,6,24,28,-9.9930,25.5726,0.72,4.43,1.00
1997,8,6,5,9,20,-6.3729,23.3893,47.34,4.18,1.00
1997,8,6,5,26,11,-8.4115,26.5053,34.44,4.60,1.00
1997,8,6,5,37,18,-18.0264,23.5254,33.66,4.16,1.00
1997,8,10,14,53,49,-8.2399,21.2934,8.51,4.17,1.00
1997,8,11,16,21,7,-11.8435,26.4017,46.73,4.00,1.00
1997,8,12,2,54,30,-9.4191,20.7148,43.58,4.17,1.00
1997,8,19,17,23,18,-6.4346,26.7762,17.01,4.59,1.00
1997,8,21,2,32,44,-8.3017,20.6200,20.58,4.11,1.00
1997,8,24,21,43,7,-19.8076,22.6501,9.60,4.14,1.00
1997,8,25,11,27,7,-17.9658,20.5281,33.50,4.13,1.00
1997,8,26,3,33,56,-0.7157,23.4223,39.34,4.73,1.00
1997,8,26,13,16,26,-10.0922,28.8468,40.83,4.15,1.00
1997,8,28,23,28,19,-8.9772,21.7846,4.09,4.66,1.00
1997,9,3,0,46,18,-17.0895,23.6973,38.98,5.12,1.00
1997,9,3,13,9,48,-16.8048,21.6032,43.57,4.20,1.00
1997,9,4,2,14,49,-18.6854,22.4297,44.51,4.37,1.00
1997,9,4,7,27,55,-12.5835,28.7108,3.71,4.56,1.00
1997,9,8,8,29,43,-11.0940,22.7263,17.11,4.50,1.00
1997,9,9,16,47,41,-17.2126,20.1891,6.66,4.90,1.00
1997,9,15,3,39,32,-17.6617,26.4242,10.31,4.72,1.00
1997,9,20,14,47,50,-13.9189,20.0414,2.35,4.23,1.00
1997,9,22,10,43,53,-15.5365,28.7700,9.84,4.38,1.00
1997,9,24,5,8,52,-1.2664,25.4399,28.30,4.29,1.00
1997,9,24,9,38,24,-4.6736,24.9527,24.92,4.22,1.00
1997,9,25,11,26,59,-13.5717,20.5059,48.08,4.32,1.00
1997,9,29,17,8,39,-5.5148,24.2969,29.12,4.07,1.00
1997,10,1,21,23,2,-4.5538,25.9928,22.90,4.21,1.00
1997,10,6,14,4,13,-19.5349,29.1749,11.87,4.23,1.00
1997,10,9,21,58,12,-7.0937,21.1620,2.15,4.27,1.00
1997,10,12,6,15,40,-17.1766,22.9719,28.02,4.08,1.00
1997,10,13,5,28,10,-18.4663,26.3535,3.27,4.49,1.00
1997,10,14,5,35,57,-5.7271,21.7443,19.38,4.45,1.00
1997,10,14,7,18,18,-13.6160,28.7646,28.71,4.70,1.00
1997,10,17,23,36,6,-16.2038,20.0125,42.60,4.16,1.00
1997,10,19,5,5,59,-4.2590,23.2814,41.09,4.20,1.00
1997,10,20,9,12,6,-5.8756,24.8022,38.88,4.27,1.00
1997,10,20,13,46,22,-9.8178,28.2396,41.62,4.32,1.00
1997,10,21,17,53,30,-19.9325,20.6690,36.23,4.44,1.00
1997,10,23,7,39,35,-16.3337,20.5781,46.54,4.99,1.00
1997,10,25,16,52,25,-6.3872,20.3742,12.38,4.21,1.00
1997,10,31,8,18,53,-4.2448,20.3579,35.12,4.34,1.00
1997,10,31,10,47,34,-9.0706,21.0523,30.55,4.15,1.00
1997,11,1,14,17,24,-19.0539,26.3496,20.11,4.02,1.00
1997,11,2,22,21,45,-12.2643,29.9079,23.28,4.21,1.00
1997,11,4,16,21,30,-16.6283,25.0673,14.31,4.09,1.00
1997,11,6,6,17,52,-2.6948,21.7813,48.69,4.31,1.00
1997,11,7,5,45,51,-3.4574,21.9359,39.80,4.39,1.00
1997,11,12,1,15,43,-11.3000,28.2997,2.48,4.07,1.00
1997,11,16,12,50,12,-15.0885,21.8122,18.71,4.17,1.00
1997,11,18,18,46,58,-19.2349,28.7074,27.71,4.01,1.00
1997,11,20,0,40,33,-11.6857,26.1325,9.85,4.00,1.00
1997,11,20,5,17,5,-9.7331,28.3783,10.39,4.23,1.00
1997,11,23,19,7,18,-7.1606,21.5632,9.12,6.01,1.00
1997,11,27,22,18,48,-19.2967,26.7801,41.67,4.16,1.00
1997,12,1,19,7,50,-10.7442,26.6386,22.93,4.62,1.00
1997,12,3,1,15,45,-15.8008,20.6958,42.32,4.34,1.00
1997,12,5,18,49,46,-11.8188,25.5020,4.17,4.02,1.00
1997,12,8,5,6,15,-14.7379,20.5160,49.81,4.29,1.00
1997,12,8,20,23,15,-7.0599,27.1578,25.44,4.80,1.00
1997,12,11,17,12,59,-19.8953,20.9881,30.00,4.07,1.00
1997,12,12,3,4,31,-9.5214,20.6201,24.62,4.05,1.00
1997,12,13,0,47,57,-19.7967,22.6695,46.79,4.07,1.00
1997,12,15,10,23,43,-14.5079,22.3125,7.79,4.08,1.00
1997,12,17,6,58,38,-13.7264,23.2654,10.78,4.08,1.00
1997,12,18,10,41,13,-14.0637,21.0320,36.49,4.65,1.00
1997,12,20,21,19,21,-5.3217,27.5203,14.97,4.15,1.00
1997,12,23,5,9,21,-5.7194,26.6455,23.55,4.48,1.00
1997,12,23,9,7,40,-10.0922,20.3945,3.34,4.26,1.00
1997,12,27,0,48,59,-11.1511,23.2122,23.78,4.84,1.00
1997,12,27,11,19,22,-13.5276,23.9254,16.76,4.42,1.00
1997,12,28,5,54,45,-6.9889,21.3900,8.93,4.36,1.00
1997,12,28,12,59,14,-9.4514,22.6525,10.08,4.62,1.00
1997,12,28,22,6,6,-1.7938,25.7991,31.50,4.05,1.00
1997,12,29,3,55,25,-5.8303,21.0457,37.55,4.33,1.00
1997,12,29,10,33,33,-11.0098,21.5326,17.40,4.08,1.00
1998,1,1,14,26,4,-4.0792,25.7488,49.27,4.37,1.00
1998,1,4,5,52,59,-17.7481,24.5359,45.45,4.29,1.00
1998,1,10,13,22,34,-6.1721,20.5996,16.53,4.01,1.00
1998,1,12,5,27,50,-2.5335,22.0795,32.93,4.63,1.00
1998,1,15,17,58,46,-19.5879,29.6934,37.58,4.44,1.00
1998,1,16,13,48,3,-8.5588,21.4670,42.59,4.31,1.00
1998,1,18,12,10,36,-15.3039,20.7006,21.47,4.50,1.00
1998,1,18,13,20,9,-2.7553,21.0724,35.22,4.26,1.00
1998,1,19,3,37,37,-10.1324,20.9843,43.80,4.11,1.00
1998,1,22,12,26,18,-7.6098,24.3602,9.22,4.95,1.00
1998,1,31,0,45,25,-17.7336,25.6380,40.30,4.46,1.00
1998,2,2,11,39,7,-14.6448,25.9358,18.95,4.14,1.00
1998,2,6,14,3,43,-8.4242,28.1190,35.99,6.03,1.00
1998,2,6,17,14,10,-18.8377,25.8483,5.72,4.32,1.00
1998,2,9,8,15,18,-12.2311,26.1905,39.23,4.26,1.00
1998,2,12,2,43,39,-7.5781,20.5618,42.62,5.15,1.00
1998,2,13,3,41,39,-17.0545,25.7138,47.34,4.37,1.00
1998,2,15,9,44,57,-19.2433,22.4790,16.76,5.98,1.00
1998,2,15,11,58,8,-8.2209,20.1760,39.78,5.03,1.00
1998,2,15,13,3,46,-14.3118,22.8018,30.58,4.38,1.00
1998,2,15,19,48,9,-19.4142,28.8966,39.79,4.08,1.00
1998,2,16,23,46,15,-5.5464,26.3441,22.42,4.51,1.00
1998,2,18,1,32,34,-9.9104,22.5209,28.10,4.18,1.00
1998,2,20,5,40,13,-18.1932,24.4661,28.54,4.05,1.00
1998,2,24,6,28,2,-8.5919,25.6988,17.63,4.31,1.00
1998,3,4,23,18,13,-11.8811,20.8678,39.22,5.24,1.00
1998,3,5,15,59,29,-3.0893,25.7827,0.77,4.82,1.00
1998,3,7,4,4,18,-14.6141,24.7059,13.14,4.28,1.00
1998,3,9,8,47,57,-15.8889,29.0202,8.36,4.14,1.00
1998,3,9,10,9,38,-1.1736,22.9708,46.04,4.70,1.00
1998,3,11,16,4,7,-7.6945,28.5464,20.66,4.37,1.00
1998,3,14,10,14,22,-10.8259,21.1930,13.73,4.10,1.00
1998,3,16,3,12,43,-9.9658,29.4555,27.74,4.02,1.00
1998,3,20,6,14,38,-0.1043,21.6664,12.58,5.10,1.00
1998,3,25,4,48,43,-4.4385,22.9323,34.63,4.49,1.00
1998,3,25,9,9,33,-15.4436,27.7580,17.78,4.34,1.00
1998,3,26,22,7,27,-5.2885,25.5109,2.47,4.64,1.00
1998,3,27,16,29,28,-10.6760,21.0220,27.25,4.54,1.00
1998,3,30,19,58,4,-14.6934,27.0132,3.82,4.33,1.00
1998,4,1,11,18,12,-7.6817,20.7470,8.66,4.80,1.00
1998,4,3,4,19,40,-5.2389,20.0490,26.22,4.46,1.00
1998,4,3,8,31,49,-13.7170,25.7536,5.94,4.33,1.00
1998,4,6,21,15,30,-6.4373,25.4784,6.51,4.06,1.00
1998,4,8,16,32,6,-15.7713,26.3596,32.23,4.04,1.00
1998,4,12,7,45,0,-11.5402,27.7753,41.65,4.59,1.00
1998,4,17,8,21,3,-8.3243,26.9828,33.80,4.08,1.00
1998,4,18,11,38,29,-19.1739,24.5855,13.97,4.25,1.00
1998,4,18,13,9,55,-9.8552,27.7827,11.99,4.07,1.00
1998,4,28,5,32,22,-4.1750,26.8805,7.42,4.03,1.00
1998,5,9,2,24,44,-19.5117,28.8735,23.93,4.28,1.00
1998,5,9,6,18,21,-8.6392,26.6796,9.12,4.87,1.00
1998,5,9,8,3,10,-15.3866,26.6810,13.15,4.00,1.00
1998,5,15,8,1,22,-7.2902,22.8754,13.11,4.32,1.00
1998,5,15,8,14,54,-2.0346,22.2538,8.58,4.25,1.00
1998,5,19,21,13,27,-6.6398,25.2455,17.17,4.67,1.00
1998,5,23,20,58,42,-6.0529,25.8345,36.87,5.13,1.00
1998,5,25,5,38,16,-18.7909,27.8887,13.12,4.04,1.00
1998,5,26,6,42,59,-11.7068,22.1094,46.89,4.24,1.00
1998,5,28,17,11,54,-8.1243,24.4611,21.42,4.23,1.00
1998,5,29,13,45,15,-13.1605,29.5407,20.52,4.30,1.00
1998,6,2,19,50,7,-4.1276,21.2493,9.61,4.20,1.00
1998,6,2,22,52,35,-14.7474,29.1210,21.80,4.77,1.00
1998,6,3,8,34,25,-19.9330,26.5087,13.98,4.00,1.00
1998,6,5,13,51,30,-16.2649,25.8679,35.07,4.37,1.00
1998,6,5,18,22,30,-16.1914,25.3325,7.11,4.04,1.00
1998,6,7,7,34,49,-7.1787,27.2358,47.96,4.62,1.00
1998,6,7,12,57,9,-2.7639,20.7740,2.15,4.06,1.00
1998,6,8,5,21,18,-13.9326,28.9327,38.74,5.15,1.00
1998,6,9,12,46,45,-13.8696,20.7478,24.03,4.88,1.00
1998,6,13,2,32,22,-1.4575,22.3325,13.22,4.45,1.00
1998,6,14,7,19,32,-12.2999,28.0188,28.00,4.22,1.00
1998,6,16,4,40,57,-12.2143,22.1212,9.85,4.08,1.00
1998,6,17,12,16,31,-8.1266,25.5644,14.26,4.23,1.00
1998,6,21,17,30,57,-19.5028,26.1923,48.41,4.83,1.00
1998,6,23,5,1,8,-7.6445,24.3856,21.74,4.11,1.00
1998,6,24,9,51,48,-3.6573,20.8305,12.66,4.22,1.00
1998,6,25,23,50,48,-7.9701,26.6830,18.44,4.32,1.00
1998,6,27,15,13,55,-16.2847,26.2967,35.81,4.48,1.00
1998,7,4,16,19,58,-8.1486,25.3257,3.13,4.51,1.00
1998,7,7,6,21,57,-14.7904,26.0262,5.54,4.09,1.00
1998,7,7,21,42,40,-12.8451,23.7727,21.74,4.52,1.00
1998,7,8,8,44,0,-0.7202,22.2390,43.98,4.06,1.00
1998,7,9,12,5,44,-9.2626,21.8785,1.40,4.02,1.00
1998,7,10,16,28,11,-13.2850,25.7698,41.38,4.41,1.00
1998,7,11,4,58,1,-1.8060,21.9400,27.98,4.21,1.00
1998,7,15,19,50,10,-14.9373,25.7709,13.02,4.18,1.00
1998,7,16,21,12,32,-19.9376,28.2621,4.06,4.04,1.00
1998,7,17,0,19,18,-6.9964,26.8194,11.72,4.82,1.00
1998,7,17,16,50,6,-8.1020,20.2400,46.97,4.08,1.00
1998,7,19,7,15,8,-8.2694,25.8774,39.15,4.29,1.00
1998,7,19,23,57,19,-11.8821,21.1437,29.56,4.65,1.00
1998,7,20,9,3,46,-16.2483,26.3966,33.93,4.68,1.00
1998,7,23,13,38,4,-4.4944,26.7006,29.37,4.08,1.00
1998,7,29,2,4,42,-3.3664,24.9319,22.51,4.65,1.00
1998,7,29,11,22,26,-0.9967,23.0784,15.16,4.56,1.00
1998,8,1,4,7,40,-9.1372,26.3410,19.22,4.09,1.00
1998,8,3,23,3,37,-19.4195,27.6546,4.90,4.03,1.00
1998,8,4,20,8,49,-9.6050,27.8509,43.11,4.02,1.00
1998,8,4,20,15,49,-18.1498,22.0997,31.89,4.59,1.00
1998,8,5,13,49,51,-13.9764,23.8031,26.68,4.25,1.00
1998,8,5,15,26,26,-16.5526,27.6782,40.45,4.41,1.00
1998,8,5,17,41,50,-5.0964,22.1860,44.46,4.15,1.00
1998,8,8,8,44,31,-0.7653,21.8269,45.83,4.05,1.00
1998,8,8,23,31,11,-7.4497,26.9706,29.64,7.35,1.00
1998,8,10,2,57,33,-18.0680,29.5580,43.54,4.32,1.00
1998,8,15,6,49,3,-14.5270,27.8362,37.32,4.32,1.00
1998,8,15,17,12,58,-15.1700,27.2054,1.95,4.27,1.00
1998,8,16,4,27,0,-2.2202,22.0898,23.56,5.03,1.00
1998,8,16,13,30,26,-16.7822,20.0999,16.51,4.41,1.00
1998,8,17,1,36,46,-15.0329,27.5363,32.63,5.45,1.00
1998,8,20,12,33,16,-10.2730,28.7150,49.60,4.59,1.00
1998,8,20,20,36,31,-2.0173,21.0876,19.30,4.12,1.00
